name,upper_left_latitude,upper_left_longitude,upper_right_latitude,upper_right_longitude,lower_left_latitude,lower_left_longitude,lower_right_latitude,lower_right_longitude,offset,shape_x,shape_y,pix_res
ch2_ohr_ncp_20190906T1246532096_d_img_d18,-14.323756,71.334305,-16.72985,69.174869,-14.735024,71.445725,-17.15629,69.299801,0.0,63230,12000,0.27
ch2_ohr_ncp_20200229T0739312111_d_img_d18,-74.36605,43.709461,-74.357976,43.359488,-73.52454,43.957706,-73.516771,43.625522,0.0,93693,12000,0.22977000623605362
ch2_ohr_ncp_20200229T0938004033_d_img_d32,-73.920405,42.799376,-73.912522,42.457137,-73.078883,43.031644,-73.071384,42.706306,0.0,93693,12000,0.2302230600054759
ch2_ohr_ncp_20200824T0806596861_d_img_d18,-61.610358,56.580435,-61.604458,56.804725,-62.441705,56.641651,-62.435771,56.871902,0.0,90148,12000,0.25855726279013597
ch2_ohr_ncp_20200824T1003365280_d_img_d18,-61.660467,56.577047,-61.657424,56.807375,-62.490045,56.666465,-62.486906,56.902936,0.0,93692,12000,0.2580994019686449
ch2_ohr_ncp_20200825T1127278043_d_img_d18,-68.36261,41.141334,-68.35982,41.420493,-69.197495,41.19252,-69.194672,41.482045,0.0,93693,12000,0.24950288947018207
ch2_ohr_ncp_20200825T1322594314_d_img_d18,-63.322785,39.459103,-63.322421,39.705735,-64.156508,39.482354,-64.156265,39.736163,0.0,90148,12000,0.251410225893061
ch2_ohr_ncp_20200825T1521048453_d_img_d18,-68.334774,41.076553,-68.334153,41.367581,-69.165951,41.203266,-69.165367,41.505086,0.0,93692,12000,0.2508343306925019
ch2_ohr_ncp_20200825T1716291272_d_img_d18,-63.339232,39.451651,-63.338565,39.696512,-64.170288,39.532475,-64.16989,39.78442,0.0,93693,12000,0.25251063591431894
ch2_ohr_ncp_20200826T0459464752_d_img_d18,-65.800042,31.694944,-65.792962,31.958737,-66.631675,31.738132,-66.62493,32.010558,0.0,93693,12000,0.25098243508524964
ch2_ohr_ncp_20200826T0853204550_d_img_d18,-65.8165,31.575842,-65.815683,31.85681,-66.645939,31.68509,-66.644387,31.975172,0.0,93692,12000,0.25039875393716526
ch2_ohr_ncp_20200827T0030107497_d_img_d18,-67.897927,20.805164,-67.89231,21.069171,-68.737545,20.848896,-68.731806,21.122556,0.0,101075,12000,0.23695930447884062
ch2_ohr_ncp_20200827T0226453039_d_img_d18,-67.911042,20.77073,-67.912566,21.042945,-68.749286,20.841259,-68.750647,21.123279,0.0,101075,12000,0.23579019352595598
ch2_ohr_ncp_20200827T0423073950_d_img_d18,-64.70883,20.009509,-64.693345,20.268058,-65.548369,20.083487,-65.532729,20.34999,0.0,93693,12000,0.23498345535960763
ch2_ohr_ncp_20200827T0619368134_d_img_d18,-64.725745,19.994568,-64.730465,20.283444,-65.563102,20.100913,-65.567546,20.398743,0.0,91971,12000,0.23424383782476546
ch2_ohr_ncp_20210331T2033243734_d_img_d18,-19.694932,41.406534,-19.695877,41.523235,-20.524168,41.414143,-20.525091,41.53149,0.0,90148,12000,0.2678768921786777
ch2_ohr_ncp_20210401T2200364910_d_img_d18,-12.941111,25.162308,-12.962214,25.303328,-13.770325,25.154024,-13.791494,25.295565,0.0,76619,12000,0.26594813598340883
ch2_ohr_ncp_20210401T2357376656_d_img_d18,-13.058433,25.133115,-13.055345,25.245912,-13.888916,25.128422,-13.885844,25.241643,0.0,90148,12000,0.26488811295333897
ch2_ohr_ncp_20210401T2357376656_d_img_hw1,-13.066636,25.132719,-13.063548,25.245521,-13.897119,25.127978,-13.894048,25.241206,0.0,90148,12000,0.26488547810207885
ch2_ohr_ncp_20210402T0155096873_d_img_d18,-12.908266,25.167224,-12.91129,25.279036,-13.739114,25.166372,-13.742124,25.278594,0.0,90148,12000,0.2638342338336937
ch2_ohr_ncp_20210402T0546284043_d_img_d18,1.056037,23.375034,1.068878,23.495434,0.224735,23.371989,0.237605,23.492393,0.0,78175,12000,0.26103514032783387
ch2_ohr_ncp_20210405T0442095110_d_img_d18,-68.279963,341.27492,-68.277167,341.545178,-69.121165,341.201487,-69.118497,341.481891,0.0,101075,12000,0.23099964120152822
ch2_ohr_ncp_20210405T0442095110_d_img_d32,-68.279963,341.27492,-68.277167,341.545178,-69.121165,341.201487,-69.118497,341.481891,0.0,101075,12000,0.23099964120152822
ch2_ohr_ncp_20210405T0640233469_d_img_d18,-68.275788,341.268936,-68.281299,341.539077,-69.119599,341.23616,-69.125154,341.516475,0.0,93693,12000,0.22915008799267958
